WSid, Watersource,Category11904,NEW SOUTH WALES MURRAY REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (HIGH SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (HIGH SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (HIGH SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (HIGH SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (HIGH SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (HIGH SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE UPSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],SUPPLEMENTARY WATER
11985,GWYDIR REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11985,GWYDIR REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11985,GWYDIR REGULATED RIVER WATER SOURCE,SUPPLEMENTARY WATER
11985,GWYDIR REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
